action_basis,threshold_hours_strict_lt,n_seed_pairs,seeds,text_only_seed_rate_mean_pct,finevo_seed_rate_mean_pct,finevo_minus_text_only_mean_pp,finevo_minus_text_only_sd_pp,paired_differences_pp_by_seed
executed,1.0,3,"0,1,2",2.5,1.3888888888888888,-1.1111111111111112,1.2028130608117202,0:-0.416666666667;1:-0.416666666667;2:-2.5
executed,20.0,3,"0,1,2",2.5,1.3888888888888888,-1.1111111111111112,1.2028130608117202,0:-0.416666666667;1:-0.416666666667;2:-2.5
executed,40.0,3,"0,1,2",2.5,1.3888888888888888,-1.1111111111111112,1.2028130608117202,0:-0.416666666667;1:-0.416666666667;2:-2.5
proposed,1.0,3,"0,1,2",0.0,0.0,0.0,0.0,0:0;1:0;2:0
proposed,20.0,3,"0,1,2",0.0,0.0,0.0,0.0,0:0;1:0;2:0
proposed,40.0,3,"0,1,2",0.0,0.0,0.0,0.0,0:0;1:0;2:0
