run_id,model,seed,num_agents,num_months,semantic_snapshot_rows,create_events,merge_update_events,carried_snapshot_rows,invalid_lineage_rows,accepted_update_events_observed,proposed_candidate_events,rejected_candidate_events,verified_supported_update_events,mechanically_contradicted_update_events,not_computable_update_events,mechanical_contradiction_rate,source_references_across_updates,reused_source_references_across_updates,source_reference_reuse_rate,confidence_increase_updates,confidence_decrease_updates,confidence_unchanged_updates,negative_evidence_updates,selected_rule_decisions,selected_rule_decisions_with_active_snapshot,high_confidence_selected_decisions,lower_confidence_selected_decisions,high_confidence_observed_outcomes,lower_confidence_observed_outcomes,high_confidence_mean_next_h_wealth_delta,lower_confidence_mean_next_h_wealth_delta,high_confidence_positive_next_h_wealth_rate,lower_confidence_positive_next_h_wealth_rate,high_confidence_employed_at_h_rate,lower_confidence_employed_at_h_rate,guidance_adherence_rate,rationale_nonempty_rate,coded_category_nonempty_rate
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,100,240,6000,100,4000,1900,0,4100,,,4100,0,0,0.0,24000,12000,0.5,1317,1234,1449,1257,11700,11700,8385,3315,8385,3315,47354.5192430913,22825.548389984808,0.675134168157424,0.5616892911010558,0.9769827072152654,0.9963800904977376,0.9964102564102564,0.0,0.0
E1:google/gemini-3-flash-preview:E1_finevo:seed13,thirdparty/google/gemini-3-flash-preview,13,100,240,6400,100,5200,1100,0,5300,,,5300,0,0,0.0,30900,15300,0.49514563106796117,3094,1152,954,1167,15300,15300,13248,2052,13084,2016,25517.898071644508,25204.28920988213,0.6400183430143687,0.7048611111111112,1.0,1.0,0.998562091503268,0.0,0.0
E2:gpt-5.2:E2_full:seed13,openai/gpt-5.2,13,10,24,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
E2:gpt-5.2:E2_full:seed21,openai/gpt-5.2,21,10,24,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
E2:gpt-5.2:E2_full:seed42,openai/gpt-5.2,42,10,24,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
E2:gpt-5.2:E2_full:seed87,openai/gpt-5.2,87,10,24,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
E2:gpt-5.2:E2_full:seed2026,openai/gpt-5.2,2026,10,24,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
