run_id,source_dir,model,seed,exp_id,variant,num_agents,num_months,semantic_module_enabled,summary_present,semantic_file_present,semantic_snapshot_rows,semantic_json_parse_errors,memory_checkpoint_count,episode_records_recovered,episode_conflicts,final_semantic_rule_count,final_strategy_evolution_events,inflation_trigger_episode_count,inflation_trigger_month_count,unemployment_trigger_episode_count,unemployment_trigger_month_count,reflection_episode_count,reflection_nonempty_count,retrieval_rows,action_rows,dense_log_present
E1:gpt-4o:E1_finevo:seed13,data/openai-gpt-4o-E1_finevo-seed13-100agents-240months,openai/gpt-4o,13,E1,default,100,240,True,True,True,6000,0,40,23900,0,100,4100,12000,120,0,0,23900,23900,24000,24000,True
E1:google/gemini-3-flash-preview:E1_finevo:seed13,data/thirdparty-google_gemini-3-flash-preview-E1_finevo-seed13-100agents-240months,thirdparty/google/gemini-3-flash-preview,13,E1,default,100,240,True,True,True,6400,0,40,23900,0,100,5300,15600,156,0,0,23900,23900,24000,24000,True
E2:gpt-5.2:E2_full:seed13,data/openai-gpt-5.2-E2_full-seed13-10agents-24months,openai/gpt-5.2,13,E2,default,10,24,True,True,True,0,0,4,230,0,0,0,0,0,0,0,230,230,240,240,True
E2:gpt-5.2:E2_full:seed21,data/openai-gpt-5.2-E2_full-seed21-10agents-24months,openai/gpt-5.2,21,E2,default,10,24,True,True,True,0,0,4,230,0,0,0,0,0,0,0,230,230,240,240,True
E2:gpt-5.2:E2_full:seed42,data/openai-gpt-5.2-E2_full-seed42-10agents-24months,openai/gpt-5.2,42,E2,default,10,24,True,True,True,0,0,4,230,0,0,0,0,0,0,0,230,230,240,240,True
E2:gpt-5.2:E2_full:seed87,data/openai-gpt-5.2-E2_full-seed87-10agents-24months,openai/gpt-5.2,87,E2,default,10,24,True,True,True,0,0,4,230,0,0,0,0,0,0,0,230,230,240,240,True
E2:gpt-5.2:E2_full:seed2026,data/openai-gpt-5.2-E2_full-seed2026-10agents-24months,openai/gpt-5.2,2026,E2,default,10,24,True,True,True,0,0,4,230,0,0,0,0,0,0,0,230,230,240,240,True
