stage_id,arm_id,seed,run_id,cell_class,source_status,action_metric_applicable,registered_action_denominator,observed_action_count,missing_action_count,h_lt_1_count,h_lt_1_rate,h_lt_20_count,h_lt_20_rate,h_lt_40_count,h_lt_40_rate,failure_error_type,failure_message_sha256,source_artifact_sha256,source_row_content_sha256
experiment-c,verified-error-forced,1099057501,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1099057501,actor-run,complete,true,48,48,0,4,0.08333333333333333,22,0.4583333333333333,33,0.6875,,,fae7e26e25f1b3d6f96fd4f62eaf9330f73d6d6578c5ee697e3d2706c8ea8ef8,c1a3892bab2b19ee7e10543ce22d9ae45603030b9714d74121464536a9b07000
experiment-c,verified-error-forced,1421875452,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1421875452,actor-run,complete,true,48,48,0,4,0.08333333333333333,14,0.2916666666666667,23,0.4791666666666667,,,aa775fb077ded674dd0f32928abc055aac00bf7e260a4c72cfa32a0b5e56693f,85c7c6df5fb99559abb676b0990be481c129c3bd2250ecb69904070a8b0e6df1
experiment-c,verified-error-forced,1769977770,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s1769977770,actor-run,complete,true,48,48,0,3,0.0625,15,0.3125,25,0.5208333333333334,,,b417aaace4a10ca915687310f808b5cb4709892654037bcb0e60c6a7bdd7bb22,aebac358b70789525493e8fa890250028ea04a233bafccab958c87e80134ccb0
experiment-c,verified-error-forced,959809858,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s959809858,actor-run,complete,true,48,48,0,10,0.20833333333333334,16,0.3333333333333333,25,0.5208333333333334,,,b9b69015e6dc253a01d8fe3ba3276d718ceaa7d9fa4798cd98ad1ca11151af1e,594e3adea582b65f15a1ec492773088cb730293b4ddfb9c80ac88822cdf54636
experiment-c,verified-error-forced,617806385,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-forced--none--stage0-selected--s617806385,actor-run,complete,true,48,48,0,7,0.14583333333333334,14,0.2916666666666667,28,0.5833333333333334,,,5d71bf3f9d243d5cf20b68189834c9751939f8eb388387fb1b398300fade54fe,a1c29eb05459651032d028b9efc4c0b2430ed0de6aef93ff12508aadcd755780
experiment-c,unverified-error-forced,1099057501,finevo-pilot-v2.11.5--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1099057501,actor-run,complete,true,48,48,0,9,0.1875,10,0.20833333333333334,29,0.6041666666666666,,,272136616f113f3e73105f066dda1553112bd43de95e372ea9951026a295a841,232414c8302fdb7ce5868feb93a0446d47797d4f84a7bc023501ee392fb1b14b
experiment-c,unverified-error-forced,1421875452,finevo-pilot-v2.11.5--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1421875452,actor-run,complete,true,48,48,0,12,0.25,19,0.3958333333333333,29,0.6041666666666666,,,bf4bf3853adab553a176fd163a0c660e6589df232b597a9a38240556b162d83a,042a91c3fbdf17671ff6a78472094018eca12319a78c34f6ce2075f2aa0ac3e8
experiment-c,unverified-error-forced,1769977770,finevo-pilot-v2.11.5--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s1769977770,actor-run,complete,true,48,48,0,15,0.3125,18,0.375,25,0.5208333333333334,,,e6e15924b3c34061989fb4f0b68fa4ce36db8f6bed01040914f9d7c2452c3532,c7ab4d075ade7d451f6a4d7abad0f446335440602e269d25468e193f73d274da
experiment-c,unverified-error-forced,959809858,finevo-pilot-v2.11.5--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s959809858,actor-run,complete,true,48,48,0,12,0.25,21,0.4375,21,0.4375,,,0b199c24e034af4777295434cd3016a776a71f96f76d6dace2ae46b5c2ad0560,cac1fe2f7cd7ca01be3924642b23227b707c3b8f37900cfccb7a259106eaa728
experiment-c,unverified-error-forced,617806385,finevo-pilot-v2.11.5--experiment-c--gpt52_main--unverified-error-forced--none--stage0-selected--s617806385,actor-run,complete,true,48,48,0,12,0.25,20,0.4166666666666667,25,0.5208333333333334,,,80553863b702c77f44232fdce09a8a684b449e0410390b000c361db762d5afa4,7f71fd11d5c0ad72898f93952cd00c30b3774fe355e0460d6c4d33aa619e6ff2
experiment-c,verified-error-candidate,1099057501,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1099057501,structural-not-applicable,complete,false,,,,,,,,,,,,a3eaaa1fce01d81a342d61551e4c624da77f130d034b5f75b74ae3e88b2d6a09,15e83aa179b43ae2d0ec5cd754a290a509f070719528b287263bd9d49ff5ca07
experiment-c,verified-error-candidate,1421875452,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1421875452,structural-not-applicable,complete,false,,,,,,,,,,,,0b4d1ebbfdf904917462d1aa1bf40e4315b29b45f23d502de29aaed9d7d4f030,8fa3f6dc31038d1ed3b4c5bfe30f9561cf634e9cc830d218aec42c728702cd68
experiment-c,verified-error-candidate,1769977770,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s1769977770,structural-not-applicable,complete,false,,,,,,,,,,,,1ef9060b6e410e01d8af1273f1deb0a81058cc901732972e8198c2a39af530a7,29c753108c9aff8140b3334131761e78e8d2aa85fd09d54803966d3faff3e4cc
experiment-c,verified-error-candidate,959809858,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s959809858,structural-not-applicable,complete,false,,,,,,,,,,,,910ab87e773f15c8feb2dc0e41e9422139aa3e65ce94c89ab22f017f4d933202,cf87891eff883de6da004b3746d15395b3bddc04f12f0740a4a8677c482748ee
experiment-c,verified-error-candidate,617806385,finevo-pilot-v2.11.5--experiment-c--gpt52_main--verified-error-candidate--none--stage0-selected--s617806385,structural-not-applicable,complete,false,,,,,,,,,,,,00adf1a157868bd800463e74292c8daf8d077905bab598ac52c5d51b611a0e25,f24aa6f8c66e3a0b0e2cd2049af7312ee9995ddc0adf4016139676863943761c
