run_id,status,stage_id,model_id,arm_id,narrative_id,environment_seed,scientific_eligible,artifact_kind,metric_path,metric_value_json
finevo-pilot-v2.10.1--parent-import--qref_scripted--parent-import--none--provider-preflight-default--s2010922376,complete,parent-import,qref_scripted,parent-import,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.10.1--q-ref-resolution--qref_scripted--qref-scripted--none--provider-preflight-default--s2010922376,complete,q-ref-resolution,qref_scripted,qref-scripted,none,2010922376,False,terminal-summary,metrics.q_ref,63.50397933257746
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.ceiling_labor_rate,0.0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.clipping_count,0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.clipping_rate,0.0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.consumption_rate_counts.0.4,1
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.consumption_rate_counts.0.5,8
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.consumption_rate_counts.0.6,4
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.consumption_rate_counts.0.7,34
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.consumption_rate_counts.0.8,1
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.interior_consumption_rate,1.0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.interior_labor_rate,1.0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.labor_hours_counts.104,11
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.labor_hours_counts.136,36
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.labor_hours_counts.88,1
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.actions.zero_labor_rate,0.0
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.analysis_scope,"""stage0-baseline-calibration"""
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.guardrails.max_abs_budget_residual,1.4551915228366852e-11
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.guardrails.median_labor_disutility_to_consumption_utility,0.5612146612105846
finevo-pilot-v2.10.1--stage0-calibration--llama33_local_controlled--stage0-no-memory-no-context--none--center--s1942013315,complete,stage0-calibration,llama33_local_controlled,stage0-no-memory-no-context,none,1942013315,True,imported-stage0-run-envelope,metrics.guardrails.provider_failure_count,0
