row_label,status,n_runs,seeds,avg_wealth_final_mean,avg_wealth_final_std,avg_wealth_final_n,gini_final_mean,gini_final_std,gini_final_n,unemployment_final_pct_mean,unemployment_final_pct_std,unemployment_final_pct_n,inflation_dev_abs_pct_mean,inflation_dev_abs_pct_std,inflation_dev_abs_pct_n,gdp_volatility_pct_mean,gdp_volatility_pct_std,gdp_volatility_pct_n,invalid_action_rate_mean,invalid_action_rate_std,invalid_action_rate_n,api_error_rate_mean,api_error_rate_std,api_error_rate_n,wall_time_min_mean,wall_time_min_std,wall_time_min_n,total_cost_usd_mean,total_cost_usd_std,total_cost_usd_n
GPT-5.2 large-scale text-only baseline,complete,3,"13,21,42",440675.0499422234,86514.13513975263,3.0,0.46563576406227636,0.017172820510361127,3.0,26.194444444444443,6.646497267427854,3.0,1.9716325528689247,1.1803727733029892,3.0,0.5131134387657599,0.1474737582632323,3.0,0.0,0.0,3.0,0.0,0.0,3.0,59.283989801671765,0.9913581788580929,3.0,55.703540000000004,0.038437109451660824,3.0
GPT-5.2 large-scale FinEvo,pending: no exported 100-agent/240-month FinEvo rows,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controlled component: full FinEvo,complete,5,"13,2026,21,42,87",182104.4805618824,10679.233360356395,5.0,0.34267169080448906,0.03649750812751393,5.0,0.16666666666666669,0.372677996249965,5.0,43.11274101123107,2.883218628931921,5.0,0.3424846508010802,0.2726074173394177,5.0,0.0,0.0,5.0,0.0,0.0,5.0,2.799686443010966,0.2172399600522457,5.0,1.571496,0.005341578558815703,5.0
Controlled component: w/o regime cue,complete,5,"13,2026,21,42,87",170789.60040772313,13280.918444908471,5.0,0.3554582824602262,0.038131693675906964,5.0,0.16666666666666669,0.372677996249965,5.0,41.9409720823849,3.953183990626976,5.0,0.37551376857595814,0.19073481809122028,5.0,0.0,0.0,5.0,0.0,0.0,5.0,2.9622693554560344,0.13197042320514737,5.0,1.5437832000000002,0.0026996963162549937,5.0
Controlled component: w/o reflection,complete,5,"13,2026,21,42,87",104386.5696309803,15089.481190242175,5.0,0.4276270348471513,0.08297086443579009,5.0,0.5,0.45643546458763845,5.0,28.477037498928848,6.095574508083431,5.0,0.20630710285882653,0.3080963005097989,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0105357392628989,0.18224989584283305,5.0,0.875877,0.0012863897154439567,5.0
Controlled component: w/o semantic memory,complete,5,"13,2026,21,42,87",182225.16178966843,10970.43824569886,5.0,0.36334298899169704,0.0203789592351828,5.0,0.16666666666666669,0.372677996249965,5.0,42.075046231862785,3.9190856582558773,5.0,0.3104620974170208,0.3387243175056843,5.0,0.0,0.0,5.0,0.0,0.0,5.0,2.8409500575065616,0.1555731121111105,5.0,1.5743694,0.0036841706393705566,5.0
Controlled component: w/o episodic memory,complete,5,"13,2026,21,42,87",116800.53663553309,9536.862107547486,5.0,0.35779980789768767,0.044504912401419246,5.0,6.666666666666667,2.568505834570407,5.0,36.59385222835566,2.814888227579981,5.0,0.5177997829686722,0.5350416966687495,5.0,0.0,0.0,5.0,0.0,0.0,5.0,3.035766877333323,0.2439038277148915,5.0,1.1667822,0.0033919306007051354,5.0
