evidence_scope,current_method_scientific_evidence,method_implementation,exp_id,model,setting,variant,n_runs,n_seeds,seeds,avg_wealth_final_mean,avg_wealth_final_std,avg_wealth_final_ci95,avg_wealth_final_n,median_wealth_final_mean,median_wealth_final_std,median_wealth_final_ci95,median_wealth_final_n,gini_final_mean,gini_final_std,gini_final_ci95,gini_final_n,unemployment_final_pct_mean,unemployment_final_pct_std,unemployment_final_pct_ci95,unemployment_final_pct_n,inflation_final_pct_mean,inflation_final_pct_std,inflation_final_pct_ci95,inflation_final_pct_n,inflation_dev_abs_pct_mean,inflation_dev_abs_pct_std,inflation_dev_abs_pct_ci95,inflation_dev_abs_pct_n,gdp_final_mean,gdp_final_std,gdp_final_ci95,gdp_final_n,gdp_growth_mean_pct_mean,gdp_growth_mean_pct_std,gdp_growth_mean_pct_ci95,gdp_growth_mean_pct_n,gdp_volatility_pct_mean,gdp_volatility_pct_std,gdp_volatility_pct_ci95,gdp_volatility_pct_n,crash_count_mean,crash_count_std,crash_count_ci95,crash_count_n,mean_crash_recovery_months_mean,mean_crash_recovery_months_std,mean_crash_recovery_months_ci95,mean_crash_recovery_months_n,invalid_action_rate_mean,invalid_action_rate_std,invalid_action_rate_ci95,invalid_action_rate_n,api_error_rate_mean,api_error_rate_std,api_error_rate_ci95,api_error_rate_n,rule_turnover_mean,rule_turnover_std,rule_turnover_ci95,rule_turnover_n,rule_diversity_mean,rule_diversity_std,rule_diversity_ci95,rule_diversity_n,total_cost_usd_mean,total_cost_usd_std,total_cost_usd_ci95,total_cost_usd_n,wall_time_min_mean,wall_time_min_std,wall_time_min_ci95,wall_time_min_n
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E4,GPT-5.2,finevo,numeric-only,5,5,"13,2026,21,42,87",172752.92933575265,14873.950262430653,13037.592241252343,5,133584.76847045898,12238.967807233228,10727.928284630774,5,0.34704088320066845,0.02973227548896281,0.026061488534676082,5,0.0,0.0,0.0,5,-39.988547144047374,4.342063082533395,3.8059861003336843,5,41.988547144047374,4.342063082533395,3.8059861003336843,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.04079483162234876,0.044509964502245376,0.039014704070824316,5,0.20397415811174394,0.222549822511227,0.19507352035412168,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5697482,0.0058758163432837025,0.005150380108619546,5,3.026258715788523,0.18102849285091593,0.15867847022456122,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E4,GPT-5.2,finevo,random-event,5,5,"13,2026,21,42,87",184465.53560397463,13179.966017823257,11552.749583140083,5,137683.1561074142,9962.18357084067,8732.23891014268,5,0.32654530667759585,0.02456987350068461,0.021536443679671793,5,0.33333333333333337,0.45643546458763845,0.40008332465458574,5,-39.934891125715644,4.258473938035305,3.732716984696402,5,41.934891125715644,4.258473938035305,3.732716984696402,5,2712256.635543236,33319.067202871454,29205.4500913017,5,0.10533799895700202,0.11716958460030912,0.10270366917618784,5,0.5266899947850102,0.5858479230015454,0.513518345880939,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.6148928000000002,0.0029838507335319185,0.0026154604853568723,5,2.807460267543793,0.24067736496495654,0.21096301189321026,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E4,GPT-5.2,finevo,shuffled-event,5,5,"13,2026,21,42,87",136387.21364191588,10736.793243312617,9411.21422454372,5,111212.80447601154,18157.442260199205,15915.699875002474,5,0.2993811036513273,0.03516305728625059,0.030821778664400033,5,0.0,0.0,0.0,5,-35.4470481651925,5.672644861464382,4.972292452800099,5,37.4470481651925,5.672644861464382,4.972292452800099,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.048099027409371845,0.06703876345001014,0.058762067023086395,5,0.24049513704685924,0.3351938172500508,0.29381033511543203,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.6013574,0.0030418886074280393,0.0026663329248269767,5,2.8591180284818014,0.23785545423340942,0.20848949807811748,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E4,GPT-5.2,finevo,text-event,5,5,"13,2026,21,42,87",181287.1193690691,24273.717746797527,21276.85171580506,5,140251.41487454894,17828.345900987075,15627.23419750684,5,0.33803535031198534,0.028216987510871656,0.02473328006027207,5,0.0,0.0,0.0,5,-41.03573092742799,3.954857814510859,3.4665857185202733,5,43.03573092742799,3.954857814510859,3.4665857185202733,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.040794831622348704,0.044509964502245335,0.039014704070824274,5,0.20397415811174371,0.22254982251122685,0.19507352035412154,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5985422,0.003399557059382887,0.0029798431458424143,5,3.0540793037414553,0.31843041030104247,0.27911656106622185,5
