evidence_scope,current_method_scientific_evidence,method_implementation,exp_id,model,setting,variant,n_runs,n_seeds,seeds,avg_wealth_final_mean,avg_wealth_final_std,avg_wealth_final_ci95,avg_wealth_final_n,median_wealth_final_mean,median_wealth_final_std,median_wealth_final_ci95,median_wealth_final_n,gini_final_mean,gini_final_std,gini_final_ci95,gini_final_n,unemployment_final_pct_mean,unemployment_final_pct_std,unemployment_final_pct_ci95,unemployment_final_pct_n,inflation_final_pct_mean,inflation_final_pct_std,inflation_final_pct_ci95,inflation_final_pct_n,inflation_dev_abs_pct_mean,inflation_dev_abs_pct_std,inflation_dev_abs_pct_ci95,inflation_dev_abs_pct_n,gdp_final_mean,gdp_final_std,gdp_final_ci95,gdp_final_n,gdp_growth_mean_pct_mean,gdp_growth_mean_pct_std,gdp_growth_mean_pct_ci95,gdp_growth_mean_pct_n,gdp_volatility_pct_mean,gdp_volatility_pct_std,gdp_volatility_pct_ci95,gdp_volatility_pct_n,crash_count_mean,crash_count_std,crash_count_ci95,crash_count_n,mean_crash_recovery_months_mean,mean_crash_recovery_months_std,mean_crash_recovery_months_ci95,mean_crash_recovery_months_n,invalid_action_rate_mean,invalid_action_rate_std,invalid_action_rate_ci95,invalid_action_rate_n,api_error_rate_mean,api_error_rate_std,api_error_rate_ci95,api_error_rate_n,rule_turnover_mean,rule_turnover_std,rule_turnover_ci95,rule_turnover_n,rule_diversity_mean,rule_diversity_std,rule_diversity_ci95,rule_diversity_n,total_cost_usd_mean,total_cost_usd_std,total_cost_usd_ci95,total_cost_usd_n,wall_time_min_mean,wall_time_min_std,wall_time_min_ci95,wall_time_min_n
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,concise-prompt,5,5,"13,2026,21,42,87",190879.28509451894,12861.313506286464,11273.438341757139,5,139544.9743293337,11252.19218568992,9862.981316253083,5,0.3394304936793141,0.0334104153608248,0.029285520282096505,5,0.0,0.0,0.0,5,-40.640004211381665,4.58615696676873,4.019943823406217,5,42.640004211381665,4.58615696676873,4.019943823406217,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.04056402221905662,0.02839581231619846,0.024890026913215436,5,0.20282011109528336,0.14197906158099247,0.12445013456607734,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.6014575999999998,0.0019753939607076655,0.0017315091499660762,5,2.846708519458771,0.21149138981263751,0.18538037671656987,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,default-prompt,5,5,"13,2026,21,42,87",178166.2243076818,11782.526175488198,10327.83955422439,5,147886.78311892672,5819.474519226614,5100.994322380897,5,0.3202896952576041,0.04199295850660752,0.036808451040464166,5,0.0,0.0,0.0,5,-40.08774483434807,4.172997531397728,3.6577936108565,5,42.087744834348065,4.172997531397728,3.6577936108565,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.06130765213516924,0.044642729751294935,0.03913107794261871,5,0.30653826067584633,0.22321364875647473,0.19565538971309362,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5712422000000004,0.004548062631494949,0.0039865526663001175,5,2.81500380118688,0.27740685672266313,0.24315783091011633,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,natural-language-plus-json,5,5,"13,2026,21,42,87",162193.96763217053,28516.312983161413,24995.650404819422,5,124632.35215256433,26614.619274311768,23328.742373913796,5,0.3512837686028982,0.02740400814466896,0.02402067222643557,5,0.0,0.0,0.0,5,-39.49842040345289,5.663543533427405,4.964314787035028,5,41.49842040345289,5.663543533427405,4.964314787035028,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.4288388,0.0022408168599866844,0.0019641625790306786,5,2.6225086498260497,0.10326170801032637,0.09051287784485913,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,no-fairness-wording,5,5,"13,2026,21,42,87",198060.06128232958,6042.820230037292,5296.765469588326,5,146782.95501792556,8579.6881732883,7520.428264639664,5,0.3463951451921722,0.021166674671285815,0.018553408381666293,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-40.82545061608094,3.9088766632594116,3.4262814624065547,5,42.82545061608094,3.9088766632594116,3.4262814624065547,5,2716902.34307688,42334.25100773862,37107.60710769827,5,0.09026031297623019,0.09403729230552389,0.08242732098194638,5,0.5179682315478167,0.37457018777275575,0.328325245664259,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.607379,0.002413908759667603,0.002115884318614793,5,2.6244677702585855,0.20689730573907722,0.18135348447770053,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,risk-neutral-wording,5,5,"13,2026,21,42,87",194512.26274911562,23873.34678712424,20925.91109644291,5,140316.29236730732,11913.242859948106,10442.417779984724,5,0.34857535093639985,0.04229096746542606,0.03706966741007446,5,0.0,0.0,0.0,5,-41.829048323762095,3.829907669748159,3.357062087665042,5,43.82904832376209,3.829907669748162,3.3570620876650445,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.026890756302520535,0.015032389764704206,0.013176470588235062,5,0.13445378151260287,0.07516194882352113,0.0658823529411754,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.6128947999999999,0.0019976583041151972,0.0017510247074168633,5,2.902936189969381,0.3957314368246133,0.34687389828081155,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,temperature-0.0,5,5,"13,2026,21,42,87",183695.1564778732,8142.807193609005,7137.485201732938,5,134491.81235763064,17744.26882276936,15553.537389107045,5,0.3594479298654355,0.01854920824734669,0.016259097903387837,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-38.94003978308732,4.2788260749079035,3.75055641921793,5,40.94003978308732,4.2788260749079035,3.75055641921793,5,2716781.2475006236,31384.987250717917,27510.154266503243,5,0.061787308880810556,0.06710718435656009,0.0588220405919525,5,0.3089365444040529,0.33553592178280034,0.2941102029597624,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5722148,0.0017686426151148366,0.0015502836051975103,5,2.7196433504422504,0.24442657314848706,0.214249337762398,5
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,E5,GPT-5.2,finevo,temperature-0.7,5,5,"13,2026,21,42,87",185112.91625870965,10203.941606703607,8944.149171842855,5,135832.38646876853,19047.655845783647,16696.006487011848,5,0.36764777178163327,0.02620253830788858,0.022967537481076623,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-39.23637680791386,1.498216893020427,1.313245008590224,5,41.23637680791386,1.498216893020427,1.313245008590224,5,2716781.2475006236,31384.987250717917,27510.154266503243,5,0.08193636428930515,0.030803802023245182,0.027000722953453335,5,0.4096818214465259,0.1540190101162259,0.1350036147672667,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5752232,0.008105544380237516,0.0071048229057101755,5,2.8862020500500996,0.44250865557035063,0.3878759383190392,5
