evidence_scope,current_method_scientific_evidence,method_implementation,model,baseline_rows,finevo_rows,status
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,GPT-5.2,3,0,missing paired FinEvo or baseline
historical_pre_p0_v1,False,legacy_simulate_py_deterministic_template_memory,Qwen3-235B,1,0,missing paired FinEvo or baseline
